# wolfy english lexicon v1
# generated	2026-08-22
# source	Princeton WordNet 3.0 — леммы и таблицы исключений (*.exc)
# source	Brown Corpus (NLTK, universal tagset) — частотность и служебные части речи
# note	уровень CEFR выведен из частотности, официальной разметкой не является
# words	77675
# irregular	4377
# top	0
W	behavioral	a	3.4	C1
W	behaviorism	n	0.0	C2
W	behaviorist	an	0.0	C2
W	behavioristic	a	0.0	C2
W	behaviour	n	3.4	C1
W	behavioural	a	0.0	C2
W	behaviourism	n	0.0	C2
W	behaviourist	an	0.0	C2
W	behaviouristic	a	0.0	C2
W	behead	v	0.0	C2
W	beheaded	a	0.0	C2
W	beheading	n	2.9	C2
W	behemoth	n	0.0	C2
W	behest	n	0.0	C2
W	behind	ainr	5.3	A2
W	behindhand	ar	0.0	C2
W	behmen	n	0.0	C2
W	behmenism	n	0.0	C2
W	behold	v	3.5	C1
W	beholden	a	0.0	C2
W	beholder	n	0.0	C2
W	beholding	n	0.0	C2
W	behoove	v	0.0	C2
W	behove	v	0.0	C2
W	behrens	n	0.0	C2
W	behring	n	0.0	C2
W	beige	an	2.9	C2
W	beigel	n	0.0	C2
W	beignet	n	0.0	C2
W	beijing	n	0.0	C2
W	being	n	5.8	A1
W	beingness	n	0.0	C2
W	beira	n	0.0	C2
W	beirut	n	2.9	C2
W	bejewel	v	0.0	C2
W	bel	n	3.5	C1
W	belabor	v	0.0	C2
W	belabour	v	0.0	C2
W	belamcanda	n	0.0	C2
W	belarus	n	0.0	C2
W	belarusian	an	0.0	C2
W	belated	a	3.2	C1
W	belatedly	r	2.9	C2
W	belau	n	0.0	C2
W	belay	nv	0.0	C2
W	belch	nv	3.2	C1
W	belching	n	3.2	C1
W	beldam	n	0.0	C2
W	beldame	n	0.0	C2
W	beleaguer	v	0.0	C2
W	beleaguering	n	0.0	C2
W	belem	n	0.0	C2
W	belemnite	n	0.0	C2
W	belemnitic	a	0.0	C2
W	belemnitidae	n	0.0	C2
W	belemnoidea	n	0.0	C2
W	belfast	n	0.0	C2
W	belfry	n	2.9	C2
W	belgian	an	4.1	B2
W	belgique	n	0.0	C2
W	belgium	n	3.2	C1
W	belgrade	n	0.0	C2
W	belie	v	0.0	C2
W	belief	n	4.7	B1
W	believability	n	0.0	C2
W	believable	a	2.9	C2
W	believably	r	2.9	C2
W	believe	v	5.2	A2
W	believer	n	3.5	C1
W	believing	n	4.1	B2
W	believingly	r	0.0	C2
W	belike	r	0.0	C2
W	belisarius	n	0.0	C2
W	belittle	v	0.0	C2
W	belittled	a	0.0	C2
W	belittling	an	2.9	C2
W	belize	n	0.0	C2
W	bell	nv	4.2	B1
W	belladonna	n	0.0	C2
W	bellarmine	n	0.0	C2
W	bellarmino	n	0.0	C2
W	bellbird	n	0.0	C2
W	bellbottom	a	0.0	C2
W	bellboy	n	3.5	C1
W	belle	n	2.9	C2
W	bellerophon	n	0.0	C2
W	belletristic	a	0.0	C2
W	bellflower	n	0.0	C2
W	bellhop	n	0.0	C2
W	bellicose	a	0.0	C2
W	bellicoseness	n	0.0	C2
W	bellicosity	n	2.9	C2
W	bellied	a	0.0	C2
W	belligerence	n	3.2	C1
W	belligerency	n	0.0	C2
W	belligerent	an	3.6	B2
W	belligerently	r	2.9	C2
W	belling	n	0.0	C2
W	bellingham	n	0.0	C2
W	bellini	n	3.4	C1
W	bellis	n	0.0	C2
W	bellman	n	3.2	C1
W	belloc	n	0.0	C2
W	bellow	nv	3.5	C1
W	bellower	n	0.0	C2
W	bellowing	n	3.2	C1
W	bellows	n	3.8	B2
W	bellpull	n	0.0	C2
W	bellwether	n	0.0	C2
W	bellwort	n	0.0	C2
W	belly	nv	4.3	B1
W	bellyache	nv	0.0	C2
W	bellyacher	n	0.0	C2
W	bellyband	n	0.0	C2
W	bellybutton	n	0.0	C2
W	bellyful	n	0.0	C2
W	bellying	a	0.0	C2
W	bellylaugh	v	0.0	C2
W	bellyless	a	0.0	C2
W	belmont	n	3.2	C1
W	belong	v	4.5	B1
W	belonging	n	4.0	B2
W	belongings	n	3.5	C1
W	belonidae	n	0.0	C2
W	belorussia	n	0.0	C2
W	belorussian	n	0.0	C2
W	belostomatidae	n	0.0	C2
W	beloved	an	4.2	B1
W	below	ir	5.1	A2
W	belowground	a	3.2	C1
W	belsen	n	0.0	C2
W	belshazzar	n	2.9	C2
W	belt	nv	4.4	B1
W	belted	a	3.2	C1
W	belting	n	2.9	C2
W	beltless	a	0.0	C2
W	beltlike	a	0.0	C2
W	beltway	n	0.0	C2
W	beluga	n	0.0	C2
W	belvedere	n	3.2	C1
W	bema	n	0.0	C2
W	bemidji	n	0.0	C2
W	bemire	v	0.0	C2
W	bemisia	n	0.0	C2
W	bemoan	v	2.9	C2
W	bemock	v	0.0	C2
W	bemuse	v	0.0	C2
W	bemused	a	0.0	C2
W	bemusement	n	0.0	C2
W	ben	n	4.3	B1
W	benadryl	n	0.0	C2
W	bench	nv	4.5	B1
W	benchley	n	0.0	C2
W	benchmark	n	0.0	C2
W	bend	nv	4.3	B1
W	bendability	n	0.0	C2
W	bendable	a	0.0	C2
W	benday	v	0.0	C2
W	bended	a	0.0	C2
W	bender	n	0.0	C2
W	bending	n	3.8	B2
W	bendopa	n	0.0	C2
W	bends	n	3.2	C1
W	beneath	ir	4.7	B1
W	benedick	n	3.4	C1
W	benedict	n	0.0	C2
W	benedictine	an	2.9	C2
W	benediction	n	3.4	C1
W	benedictive	a	0.0	C2
W	benedictory	a	0.0	C2
W	benefact	v	0.0	C2
W	benefaction	n	0.0	C2
W	benefactor	n	3.5	C1
W	benefactress	n	0.0	C2
W	benefic	a	0.0	C2
W	benefice	nv	0.0	C2
W	beneficed	a	0.0	C2
W	beneficence	n	2.9	C2
W	beneficent	a	0.0	C2
W	beneficial	a	4.0	B2
W	beneficially	r	0.0	C2
W	beneficiary	an	3.2	C1
W	beneficiate	v	0.0	C2
W	beneficiation	n	0.0	C2
W	benefit	nv	4.7	B1
W	benelux	n	3.2	C1
W	benet	n	3.2	C1
W	benevolence	n	3.5	C1
W	benevolent	a	3.2	C1
W	benevolently	r	0.0	C2
W	benficiate	v	0.0	C2
W	bengal	n	3.5	C1
W	bengali	an	2.9	C2
W	benghazi	n	0.0	C2
W	benight	v	0.0	C2
W	benighted	a	3.2	C1
W	benign	a	2.9	C2
W	benignancy	n	0.0	C2
W	benignant	a	0.0	C2
W	benignantly	r	0.0	C2
W	benignity	n	0.0	C2
W	benignly	r	0.0	C2
W	benin	n	0.0	C2
W	beninese	an	0.0	C2
W	benison	n	0.0	C2
W	benjamin	n	4.0	B2
W	benne	n	0.0	C2
W	bennet	n	0.0	C2
W	bennett	n	2.9	C2
W	bennettitaceae	n	0.0	C2
W	bennettitales	n	0.0	C2
W	bennettitis	n	0.0	C2
W	benni	n	0.0	C2
W	bennie	n	0.0	C2
W	bennington	n	3.5	C1
W	benniseed	n	0.0	C2
W	benny	n	3.5	C1
W	bent	an	4.5	B1
W	benthal	a	0.0	C2
W	bentham	n	3.2	C1
W	benthic	a	0.0	C2
W	benthonic	a	0.0	C2
W	benthos	n	0.0	C2
W	benton	n	0.0	C2
W	bentonite	n	0.0	C2
W	bentonitic	a	0.0	C2
W	bentwood	n	0.0	C2
W	benumb	v	0.0	C2
W	benumbed	a	0.0	C2
W	benweed	n	0.0	C2
W	benzedrine	n	2.9	C2
W	benzene	n	3.2	C1
W	benzenoid	a	0.0	C2
W	benzine	n	0.0	C2
W	benzoate	n	0.0	C2
W	benzocaine	n	0.0	C2
W	benzodiazepine	n	0.0	C2
W	benzofuran	n	0.0	C2
W	benzoic	a	0.0	C2
W	benzoin	n	0.0	C2
W	benzol	n	0.0	C2
W	benzoquinone	n	0.0	C2
W	benzyl	n	0.0	C2
W	benzylic	a	0.0	C2
W	benzylpenicillin	n	0.0	C2
W	beograd	n	0.0	C2
W	beowulf	n	4.1	B2
W	beplaster	v	0.0	C2
W	bequeath	v	0.0	C2
W	bequest	n	3.6	B2
W	berate	v	0.0	C2
W	berating	n	0.0	C2
W	berber	n	0.0	C2
W	berberidaceae	n	0.0	C2
W	berberis	n	0.0	C2
W	berbers	n	0.0	C2
W	berceuse	n	0.0	C2
W	bercy	n	0.0	C2
W	bereave	v	0.0	C2
W	bereaved	an	0.0	C2
W	bereavement	n	3.5	C1
W	bereft	a	3.2	C1
W	beret	n	0.0	C2
W	berg	n	0.0	C2
W	bergall	n	0.0	C2
W	bergamot	n	0.0	C2
W	bergen	n	0.0	C2
W	bergenia	n	0.0	C2
W	bergman	n	0.0	C2
W	bergson	n	2.9	C2
W	beria	n	0.0	C2
W	beriberi	n	3.2	C1
W	bering	n	0.0	C2
W	berit	n	0.0	C2
W	berith	n	0.0	C2
W	berk	n	0.0	C2
W	berkeley	n	2.9	C2
W	berkelium	n	0.0	C2
W	berkshire	n	0.0	C2
W	berkshires	n	3.2	C1
W	berlage	n	0.0	C2
W	berlin	n	4.8	A2
W	berliner	n	0.0	C2
W	berlioz	n	2.9	C2
W	berm	n	0.0	C2
W	bermuda	n	3.9	B2
W	bermudan	an	0.0	C2
W	bermudas	n	0.0	C2
W	bermudian	n	0.0	C2
W	bern	n	3.6	B2
W	bernard	n	3.9	B2
W	berne	n	2.9	C2
W	bernhardt	n	3.2	C1
W	bernini	n	2.9	C2
W	bernoulli	n	3.2	C1
W	bernstein	n	2.9	C2
W	beroe	n	0.0	C2
W	berra	n	3.2	C1
W	berretta	n	0.0	C2
W	berried	a	0.0	C2
W	berry	nv	3.9	B2
W	berrylike	a	0.0	C2
W	berserk	an	0.0	C2
W	berserker	n	0.0	C2
W	berteroa	n	0.0	C2
W	berth	nv	3.5	C1
W	bertholletia	n	0.0	C2
W	bertillon	n	0.0	C2
W	bertolucci	n	0.0	C2
W	berycomorphi	n	0.0	C2
W	beryl	n	3.2	C1
W	beryllium	n	2.9	C2
W	berzelius	n	0.0	C2
W	beseech	v	2.9	C2
W	beseeching	a	0.0	C2
W	beseechingly	r	0.0	C2
W	beseem	v	0.0	C2
W	beset	v	3.8	B2
W	beshrew	v	0.0	C2
W	beside	i	4.8	A2
W	besides	r	4.8	A2
W	besiege	v	2.9	C2
W	besieged	a	3.2	C1
W	besieger	n	0.0	C2
W	besieging	n	2.9	C2
W	besmear	v	0.0	C2
W	besmirch	v	2.9	C2
W	besom	n	0.0	C2
W	besot	v	0.0	C2
W	besotted	a	0.0	C2
W	bespangle	v	0.0	C2
W	bespatter	v	0.0	C2
W	bespeak	v	2.9	C2
W	bespeckle	v	0.0	C2
W	bespectacled	a	3.2	C1
W	bespoke	a	0.0	C2
W	bespoken	a	0.0	C2
W	bespot	v	0.0	C2
W	besprent	a	0.0	C2
W	besprinkle	v	0.0	C2
W	bessel	n	0.0	C2
W	bessemer	n	0.0	C2
W	bessera	n	0.0	C2
W	besseya	n	0.0	C2
W	best	anrv	5.5	A1
W	bestial	a	2.9	C2
W	bestialise	v	0.0	C2
W	bestiality	n	0.0	C2
W	bestialize	v	0.0	C2
W	bestially	r	0.0	C2
W	bestiary	n	0.0	C2
W	bestir	v	0.0	C2
W	bestow	v	3.2	C1
W	bestowal	n	3.5	C1
W	bestower	n	0.0	C2
W	bestowment	n	0.0	C2
W	bestrew	v	0.0	C2
W	bestride	v	0.0	C2
W	bestseller	n	3.2	C1
W	bestubbled	a	2.9	C2
W	bet	nv	4.2	B1
W	beta	an	3.2	C1
W	betaine	n	0.0	C2
W	betatron	n	0.0	C2
W	betel	n	0.0	C2
W	betelgeuse	n	0.0	C2
W	beth	n	3.6	B2
W	bethe	n	0.0	C2
W	bethel	n	2.9	C2
W	bethink	v	0.0	C2
W	bethlehem	n	2.9	C2
W	bethune	n	0.0	C2
W	betide	v	3.2	C1
W	betimes	r	0.0	C2
W	betise	n	0.0	C2
W	betoken	v	0.0	C2
W	betray	v	3.5	C1
W	betrayal	n	3.7	B2
W	betrayer	n	2.9	C2
W	betroth	v	0.0	C2
W	betrothal	n	2.9	C2
W	betrothed	an	2.9	C2
W	better	anrv	5.6	A1
W	bettering	a	2.9	C2
W	betterment	n	3.4	C1
W	betting	a	3.6	B2
W	bettong	n	0.0	C2
W	bettongia	n	0.0	C2
W	bettor	n	0.0	C2
W	betula	n	0.0	C2
W	betulaceae	n	0.0	C2
W	betulaceous	a	0.0	C2
W	between	ir	5.8	A1
W	betweenbrain	n	0.0	C2
W	betwixt	r	0.0	C2
W	bevatron	n	0.0	C2
W	bevel	nv	3.2	C1
W	beverage	n	3.6	B2
W	beveridge	n	0.0	C2
W	bevin	n	0.0	C2
W	bevy	n	3.4	C1
W	bewail	v	2.9	C2
W	beware	v	3.4	C1
W	bewhisker	v	0.0	C2
W	bewhiskered	a	2.9	C2
W	bewilder	v	0.0	C2
W	bewildered	a	3.7	B2
W	bewilderedly	r	2.9	C2
W	bewilderingly	r	2.9	C2
W	bewilderment	n	3.4	C1
W	bewitch	v	0.0	C2
W	bewitched	a	3.2	C1
W	bewitchery	n	0.0	C2
W	bewitching	a	2.9	C2
W	bewitchingly	r	0.0	C2
W	bewitchment	n	0.0	C2
W	bewray	v	0.0	C2
W	bextra	n	0.0	C2
W	bey	n	3.7	B2
W	beyond	ir	5.2	A2
W	bezant	n	0.0	C2
W	bezel	n	0.0	C2
W	bezique	n	0.0	C2
W	bezzant	n	0.0	C2
W	bh	n	0.0	C2
W	bhadon	n	0.0	C2
W	bhadrapada	n	0.0	C2
W	bhaga	n	0.0	C2
W	bhagavadgita	n	0.0	C2
W	bhakti	n	0.0	C2
W	bhang	n	0.0	C2
W	bharat	n	0.0	C2
W	bhutan	n	0.0	C2
W	bhutanese	an	0.0	C2
W	bhutani	n	0.0	C2
W	bi	n	3.2	C1
W	bialy	n	0.0	C2
W	bialystoker	n	0.0	C2
W	biannual	a	0.0	C2
W	biannually	r	0.0	C2
W	bias	anv	3.8	B2
W	biased	a	0.0	C2
W	biaural	a	0.0	C2
W	biauricular	a	0.0	C2
W	biaxal	a	0.0	C2
W	biaxate	a	0.0	C2
W	biaxial	a	0.0	C2
W	bib	nv	3.2	C1
W	bibbed	a	0.0	C2
W	bible	n	4.7	B1
W	bibless	a	0.0	C2
W	biblical	a	4.2	B1
W	bibliographer	n	0.0	C2
W	bibliographic	a	0.0	C2
W	bibliographical	a	2.9	C2
W	bibliography	n	3.2	C1
W	bibliolatrous	a	0.0	C2
W	bibliolatry	n	0.0	C2
W	bibliomania	n	0.0	C2
W	bibliomaniacal	a	0.0	C2
W	bibliophile	n	0.0	C2
W	bibliophilic	a	0.0	C2
W	bibliopole	n	0.0	C2
W	bibliopolic	a	0.0	C2
W	bibliopolist	n	0.0	C2
W	bibliothec	n	0.0	C2
W	bibliotheca	n	0.0	C2
W	bibliothecal	a	0.0	C2
W	bibliothecarial	a	0.0	C2
W	bibliotic	a	0.0	C2
W	bibliotics	n	0.0	C2
W	bibliotist	n	0.0	C2
W	bibos	n	0.0	C2
W	bibulous	a	0.0	C2
W	bicameral	a	2.9	C2
W	bicapsular	a	0.0	C2
W	bicarbonate	n	2.9	C2
W	bicentenary	an	0.0	C2
W	bicentennial	an	0.0	C2
W	bicentric	a	0.0	C2
W	bicephalous	a	0.0	C2
W	biceps	n	3.4	C1
W	bichloride	n	0.0	C2
W	bichromate	n	0.0	C2
W	bichromated	a	0.0	C2
W	bichrome	a	0.0	C2
W	bicipital	a	0.0	C2
W	bicker	nv	0.0	C2
W	bickering	n	3.4	C1
W	bicolor	a	0.0	C2
W	bicolored	a	0.0	C2
W	bicolour	a	0.0	C2
W	bicoloured	a	0.0	C2
W	biconcave	a	2.9	C2
W	biconvex	a	0.0	C2
W	bicorn	an	0.0	C2
W	bicornate	a	0.0	C2
W	bicorne	n	0.0	C2
W	bicorned	a	0.0	C2
W	bicornuate	a	0.0	C2
W	bicornuous	a	0.0	C2
W	bicuspid	an	0.0	C2
W	bicuspidate	a	0.0	C2
W	bicycle	nv	3.6	B2
W	bicycler	n	0.0	C2
W	bicyclic	a	0.0	C2
W	bicycling	n	0.0	C2
W	bicyclist	n	0.0	C2
W	bicylindrical	a	0.0	C2
W	bid	nv	4.3	B1
W	bida	n	0.0	C2
W	biddable	a	0.0	C2
W	bidder	n	3.2	C1
W	bidding	n	3.8	B2
W	biddy	n	0.0	C2
W	bide	v	2.9	C2
W	bidens	n	0.0	C2
W	bidentate	a	0.0	C2
W	bidet	n	0.0	C2
W	bidirectional	a	0.0	C2
W	biedermeier	a	0.0	C2
W	biennial	an	2.9	C2
W	biennially	r	0.0	C2
W	bier	n	0.0	C2
W	bierce	n	2.9	C2
W	biface	a	0.0	C2
W	bifacial	a	0.0	C2
W	biff	nv	0.0	C2
W	bifid	a	0.0	C2
W	bifilar	a	0.0	C2
W	biflagellate	a	0.0	C2
W	bifocal	a	2.9	C2
W	bifocals	n	3.2	C1
W	bifoliate	a	0.0	C2
W	biform	a	0.0	C2
W	bifurcate	av	0.0	C2
W	bifurcated	a	0.0	C2
W	bifurcation	n	0.0	C2
W	big	ar	5.5	A1
W	bigamist	n	0.0	C2
W	bigamous	a	0.0	C2
W	bigamy	n	0.0	C2
W	bigarade	n	0.0	C2
W	bigeminal	a	0.0	C2
W	bigeneric	a	0.0	C2
W	bigeye	n	0.0	C2
W	bigfoot	n	0.0	C2
W	bigger	a	4.5	B1
W	biggin	n	0.0	C2
W	biggish	a	0.0	C2
W	bighead	n	0.0	C2
W	bigheaded	a	0.0	C2
W	bighearted	a	0.0	C2
W	bigheartedness	n	0.0	C2
W	bighorn	n	0.0	C2
W	bight	nv	0.0	C2
W	bigmouthed	a	0.0	C2
W	bigness	n	0.0	C2
W	bignonia	n	0.0	C2
W	bignoniaceae	n	0.0	C2
W	bignoniaceous	a	0.0	C2
W	bignoniad	n	0.0	C2
W	bigos	n	0.0	C2
W	bigot	n	0.0	C2
W	bigoted	a	2.9	C2
W	bigotry	n	3.2	C1
W	bigram	n	0.0	C2
W	bigwig	n	0.0	C2
W	bihar	n	0.0	C2
W	bihari	n	0.0	C2
W	bijou	n	0.0	C2
W	bike	nv	0.0	C2
W	bikers	n	0.0	C2
W	bikini	n	0.0	C2
W	bilabial	an	0.0	C2
W	bilabiate	a	0.0	C2
W	bilateral	a	3.2	C1
W	bilateralism	n	0.0	C2
W	bilaterality	n	0.0	C2
W	bilaterally	r	0.0	C2
W	bilberry	n	0.0	C2
W	bilby	n	0.0	C2
W	bile	n	3.4	C1
W	bilestone	n	0.0	C2
W	bilge	nv	3.2	C1
W	bilges	n	0.0	C2
W	bilgewater	n	0.0	C2
W	bilgy	a	0.0	C2
W	bilharzia	n	0.0	C2
W	bilharziasis	n	2.9	C2
W	biliary	a	0.0	C2
W	bilimbi	n	0.0	C2
W	bilinear	a	2.9	C2
W	bilingual	an	2.9	C2
W	bilingualism	n	0.0	C2
W	bilingualist	n	0.0	C2
W	bilingually	r	0.0	C2
W	bilious	a	0.0	C2
W	biliousness	n	0.0	C2
W	bilirubin	n	0.0	C2
W	bilk	v	0.0	C2
W	bill	nv	5.1	A2
W	billabong	n	0.0	C2
W	billboard	n	2.9	C2
W	billed	a	3.4	C1
W	billet	nv	2.9	C2
W	billfish	n	0.0	C2
W	billfold	n	0.0	C2
W	billhook	n	0.0	C2
W	billiard	a	2.9	C2
W	billiards	n	0.0	C2
W	billing	n	3.5	C1
W	billings	n	2.9	C2
W	billingsgate	n	0.0	C2
W	billion	amn	4.7	B1
W	billionaire	n	0.0	C2
W	billionth	an	0.0	C2
W	billow	nv	0.0	C2
W	billowing	a	0.0	C2
W	billowy	a	0.0	C2
W	billy	n	4.4	B1
W	billyo	n	0.0	C2
W	billyoh	n	0.0	C2
W	billystick	n	0.0	C2
W	bilobate	a	0.0	C2
W	bilobated	a	0.0	C2
W	bilobed	a	0.0	C2
W	bilocation	n	0.0	C2
W	bilocular	a	0.0	C2
W	biloculate	a	0.0	C2
W	biloxi	n	0.0	C2
W	bilsted	n	0.0	C2
W	biltong	n	0.0	C2
W	bimanual	a	0.0	C2
W	bimbo	n	0.0	C2
W	bimester	n	0.0	C2
W	bimestrial	a	0.0	C2
W	bimetal	an	0.0	C2
W	bimetallic	a	0.0	C2
W	bimetallism	n	0.0	C2
W	bimetallist	n	0.0	C2
W	bimetallistic	a	0.0	C2
W	bimillenary	n	0.0	C2
W	bimillenial	a	0.0	C2
W	bimillennium	n	0.0	C2
W	bimli	n	0.0	C2
W	bimodal	a	0.0	C2
W	bimolecular	a	2.9	C2
W	bimonthly	anr	2.9	C2
W	bimorphemic	a	0.0	C2
W	bimotored	a	0.0	C2
W	bin	nv	3.9	B2
W	binary	an	0.0	C2
W	binate	a	0.0	C2
W	binaural	a	0.0	C2
W	binaurally	r	0.0	C2
W	bind	nv	3.5	C1
W	bindable	a	0.0	C2
W	binder	n	2.9	C2
W	bindery	n	0.0	C2
W	binding	an	4.2	B1
W	bindweed	n	0.0	C2
W	bine	n	0.0	C2
W	binet	n	0.0	C2
W	binful	n	0.0	C2
W	binge	nv	2.9	C2
W	binger	n	0.0	C2
W	binghamton	n	0.0	C2
W	bingle	n	0.0	C2
W	bingo	n	0.0	C2
W	binnacle	n	0.0	C2
W	binocular	a	0.0	C2
W	binoculars	n	3.2	C1
W	binomial	an	4.5	B1
W	binominal	a	0.0	C2
W	binturong	n	0.0	C2
W	binuclear	a	2.9	C2
W	binucleate	a	0.0	C2
W	binucleated	a	0.0	C2
W	bioarm	n	0.0	C2
W	bioassay	nv	0.0	C2
W	bioattack	n	0.0	C2
W	biocatalyst	n	0.0	C2
W	biocatalytic	a	0.0	C2
W	biochemical	a	3.4	C1
W	biochemically	r	0.0	C2
W	biochemist	n	0.0	C2
W	biochemistry	n	0.0	C2
W	biochip	n	0.0	C2
W	bioclimatic	a	0.0	C2
W	bioclimatology	n	0.0	C2
W	biodefence	n	0.0	C2
W	biodefense	n	0.0	C2
W	biodegradable	a	0.0	C2
W	biodegrade	v	0.0	C2
W	biodiversity	n	0.0	C2
W	bioelectricity	n	0.0	C2
W	bioengineering	n	0.0	C2
W	bioethics	n	0.0	C2
W	biofeedback	n	0.0	C2
W	bioflavinoid	n	0.0	C2
W	biogenesis	n	0.0	C2
W	biogenetic	a	0.0	C2
W	biogenic	a	0.0	C2
W	biogenous	a	0.0	C2
W	biogeny	n	0.0	C2
W	biogeographic	a	0.0	C2
W	biogeographical	a	0.0	C2
W	biogeography	n	0.0	C2
W	biographer	n	2.9	C2
W	biographic	a	0.0	C2
W	biographical	a	3.5	C1
W	biography	n	4.0	B2
W	biohazard	n	0.0	C2
W	bioko	n	0.0	C2
W	biologic	a	2.9	C2
W	biological	a	4.2	B1
W	biologically	r	2.9	C2
W	biologism	n	0.0	C2
W	biologist	n	3.2	C1
W	biologistic	a	0.0	C2
W	biology	n	3.8	B2
W	bioluminescence	n	0.0	C2
W	bioluminescent	a	0.0	C2
W	biomass	n	0.0	C2
W	biome	n	0.0	C2
W	biomedical	a	0.0	C2
W	biomedicine	n	0.0	C2
W	biometrics	n	0.0	C2
W	biometry	n	0.0	C2
W	bionic	a	0.0	C2
W	bionics	n	0.0	C2
W	bionomic	a	0.0	C2
W	bionomical	a	0.0	C2
W	bionomics	n	0.0	C2
W	biont	n	0.0	C2
W	biophysicist	n	2.9	C2
W	biophysics	n	0.0	C2
W	biopiracy	n	0.0	C2
W	biopsy	n	3.2	C1
W	bioremediation	n	0.0	C2
W	biosafety	n	0.0	C2
W	bioscience	n	0.0	C2
W	bioscope	n	0.0	C2
W	biosphere	n	0.0	C2
W	biostatistics	n	0.0	C2
W	biosynthesis	n	0.0	C2
W	biosynthetic	a	0.0	C2
W	biosystematic	a	0.0	C2
W	biosystematics	n	0.0	C2
W	biosystematy	n	0.0	C2
W	biota	n	0.0	C2
W	biotech	n	0.0	C2
W	biotechnology	n	0.0	C2
W	bioterrorism	n	0.0	C2
W	biotic	a	0.0	C2
W	biotin	n	0.0	C2
W	biotite	n	0.0	C2
W	biotitic	a	0.0	C2
W	biotype	n	0.0	C2
W	biotypic	a	0.0	C2
W	biovular	a	0.0	C2
W	bioweapon	n	0.0	C2
W	biparous	a	0.0	C2
W	bipartisan	a	3.2	C1
W	bipartite	a	0.0	C2
W	bipartizan	a	0.0	C2
W	biped	an	0.0	C2
W	bipedal	a	0.0	C2
W	bipedalism	n	0.0	C2
W	bipinnate	a	0.0	C2
W	bipinnatifid	a	0.0	C2
W	biplane	n	3.2	C1
W	bipolar	a	0.0	C2
W	biprism	n	0.0	C2
W	biquadrate	n	0.0	C2
W	biquadratic	an	0.0	C2
W	biracial	a	2.9	C2
W	biradial	a	0.0	C2
W	biradially	r	0.0	C2
W	biramous	a	0.0	C2
W	birch	anv	3.2	C1
W	birchbark	n	0.0	C2
W	birchen	a	0.0	C2
W	bird	nv	4.4	B1
W	birdbath	n	2.9	C2
W	birdbrain	n	0.0	C2
W	birdcage	n	0.0	C2
W	birdcall	n	0.0	C2
W	birder	n	0.0	C2
W	birdfeeder	n	0.0	C2
W	birdhouse	n	0.0	C2
W	birdie	nv	3.6	B2
W	birdlime	nv	0.0	C2
W	birdnest	nv	0.0	C2
W	birdnesting	n	0.0	C2
W	birdseed	n	0.0	C2
W	birdsong	n	0.0	C2
W	birdwatch	v	0.0	C2
W	birefringence	n	3.4	C1
W	birefringent	a	0.0	C2
W	biretta	n	0.0	C2
W	biriani	n	0.0	C2
W	birken	a	0.0	C2
W	birl	v	0.0	C2
W	birle	v	0.0	C2
W	birling	n	0.0	C2
W	birmingham	n	4.0	B2
W	biro	n	0.0	C2
W	birr	nv	0.0	C2
W	birretta	n	0.0	C2
W	birth	nv	4.8	A2
W	birthday	n	4.2	B1
W	birthing	n	0.0	C2
W	birthmark	n	0.0	C2
W	birthplace	n	3.7	B2
W	birthrate	n	0.0	C2
W	birthright	n	2.9	C2
W	birthroot	n	0.0	C2
W	birthwort	n	0.0	C2
W	biryani	n	0.0	C2
W	bisayan	n	0.0	C2
W	bisayas	n	0.0	C2
W	biscuit	n	3.2	C1
W	biscutella	n	0.0	C2
W	bise	n	0.0	C2
W	bisect	v	0.0	C2
W	bisection	n	0.0	C2
W	bisectional	a	0.0	C2
W	biserrate	a	0.0	C2
W	bisexual	an	0.0	C2
W	bisexuality	n	0.0	C2
W	bishkek	n	0.0	C2
W	bishop	n	4.2	B1
W	bishopric	n	0.0	C2
W	bishopry	n	2.9	C2
W	biskek	n	0.0	C2
W	bismarck	n	2.9	C2
W	bismarckian	a	0.0	C2
W	bismark	n	2.9	C2
W	bismuth	n	0.0	C2
W	bismuthal	a	0.0	C2
W	bismuthic	a	0.0	C2
W	bison	n	2.9	C2
W	bisontine	a	0.0	C2
W	bisque	n	3.7	B2
W	bissau	n	0.0	C2
W	bister	n	0.0	C2
W	bistered	a	0.0	C2
W	bistre	n	0.0	C2
W	bistred	a	0.0	C2
W	bistro	n	0.0	C2
W	bistroic	a	0.0	C2
W	bisulcate	a	0.0	C2
W	bit	n	4.9	A2
W	bitartrate	n	0.0	C2
W	bitch	nv	3.7	B2
W	bitchery	n	0.0	C2
W	bitchiness	n	0.0	C2
W	bitchy	a	0.0	C2
W	bite	nv	3.9	B2
W	biteplate	n	0.0	C2
W	biter	n	2.9	C2
W	bitewing	n	0.0	C2
W	bithynia	n	0.0	C2
W	biting	a	3.7	B2
W	bitingly	r	0.0	C2
W	bitis	n	0.0	C2
W	bitmap	n	0.0	C2
W	bitok	n	0.0	C2
W	bitstock	n	0.0	C2
W	bitt	nv	0.0	C2
W	bittacidae	n	0.0	C2
W	bitter	anrv	4.7	B1
W	bittercress	n	0.0	C2
W	bitterish	a	0.0	C2
W	bitterly	r	4.1	B2
W	bittern	n	0.0	C2
W	bitterness	n	4.2	B1
W	bitternut	n	0.0	C2
W	bitterroot	n	0.0	C2
W	bitters	n	2.9	C2
